Вопрос,Ответ,
Предоставляется ли иногородним студентам общежитие и на какой срок? ,"Общежитие для студентов предоставляется в соответствии с Регламентом предоставления иногородним обучающимся жилых помещений в общежитиях КФУ, поправками в регламент и на весь срок обучения. Жилищно-бытовая комиссия будет рассматривать все заявления 23 августа.
Подробнее о заселении в общежития студентов ИТИС можно прочитать по ссылке ",
Кто может получить грант и на какой срок он даётся?,"Грант – это покрытие стоимости контрактного обучения на один год. Каждый год происходит перераспределение по результатам двух сессий. Грант на обучение выделяется студентам 1 курса на основании рейтинга ЕГЭ и заявления на получение гранта, а студентам вторых, третьих и четвертых курсов на основании рейтинга успеваемости за предыдущий учебный год и заявления. После завершения обучения выпускник обязан осуществлять трудовую деятельность в сфере информационно-коммуникационных технологий на территории Республики Татарстан с момента окончания обучения в течение периода, равному сроку обучения по гранту. Количество грантов на 1 курсе в 2025-2026 году:  30 грантов 
Подробнее о гранте - https://kpfu.ru/itis/granty-na-obuchenie-v-itis",
Какой был минимальный балл для внебюджета в прошлом году?,В прошлом году минимальный проходной балл на платное отделение составил 220 баллов на профиле «Современная разработка программного обеспечения» и 172 балла на профилях «Разработка цифровых продуктов» и «Digital Product Development».,
Где можно посмотреть список предложений от компаний по целевому обучению? ,"На сайте trudvsem.ru можно будет ознакомиться с предложениями компания по целевым местам после 20 июня, до 10 июня пока идет сбор заявок от предприятий.",
Можно ли поступить к вам после СПО? Нужно будет сдавать внутренние экзамены?,"Да, можно поступить после СПО, но потребуется сдать вступительные внутренние экзамены: математика, информатора, русский язык. Сложность экзаменов коррелируется со сложностью экзаменов ЕГЭ.",
"Можно ли сдавать внутренние вступительные испытания онлайн, не приезжая в вуз?","Да, можно. Для этого внимательно ознакомьтесь с инструкцией - https://admissions.kpfu.ru/bakalavriat-specialitet/vstupitelnye-ispytaniya/distancionnye-vstupitelnye-ispytaniya/",
Как узнать расписание внутренних вступительных испытаний?,"Расписание опубликовано на сайте приемной комиссии для бакалавриата, для магистратуры
Бакалавриат - https://admissions.kpfu.ru/bakalavriat-specialitet/vstupitelnye-ispytaniya/raspisanie/
Магистратура - https://admissions.kpfu.ru/magistratura/vstupitelnye-ispytaniya/raspisanie/",
Какова стоимость обучения?,Стоимость обучения можно узнать подробнее здесь - https://admissions.kpfu.ru/dokumenty/bakalavriat-specialitet/stoimost-obucheniya/,"Думаю, этот вопрос можно пока не добавлять"
Какие документы необходимо представить при подаче заявления о приёме на обучение?,"Если Вы подаете документы через ИАС «Буду студентом!» перечень указан здесь - https://admissions.kpfu.ru/bakalavriat-specialitet/procedura-postupleniya/dokumenty-dlya-postupleniya/
Если Вы подаете через Госуслуги, то при подаче заявления через Госуслуги документы подтянутся автоматически. Если у вас есть льготы и индивидуальные достижения (ИД), запросите сведения о них в личном кабинете. Например, сведения об инвалидности — в разделе «Здоровье». Если не запросите, понадобится указать реквизиты подтверждающих документов в заявлении. Вуз также может попросить прикрепить документ к заявлению или передать в приёмную комиссию лично. Если загрузилось не всё, укажите вручную те достижения, которые учитывают выбранные вузы, — их можно узнать на сайтах вузов",
Нужно ли предоставлять оригинал документа об образовании для зачисления на бюджет?,"Нет, не нужно. Зачислению подлежат поступающие, которые в период со дня подачи заявления о приеме до дня завершения приема заявлений о согласии на зачисление подали заявление о согласии на зачисление",
